date,sector,sentiment,sentiment_smoothed,sentiment_lagged,n_tickers,n_headlines
2021-09-09,Consumer,0.07277333333333333,0.1368731536796537,0.17027182034632032,5,17
2021-09-10,Consumer,0.19819416666666667,0.17932682034632036,0.1368731536796537,4,17
2021-09-13,Consumer,0.15546186147186147,0.1510158593073593,0.17932682034632036,5,27
2021-09-14,Consumer,0.15592833333333334,0.1455578116883117,0.1510158593073593,5,17
2021-09-15,Consumer,0.03748,0.12396753896103896,0.1455578116883117,5,25
2021-09-16,Consumer,-0.014121999999999996,0.10658847229437232,0.12396753896103896,5,15
2021-09-17,Consumer,0.26663166666666666,0.1202759722943723,0.10658847229437232,4,14
2021-09-20,Consumer,0.1867506153846154,0.1265337230769231,0.1202759722943723,5,33
2021-09-21,Consumer,0.12993666666666664,0.12133538974358975,0.1265337230769231,5,25
2021-09-22,Consumer,0.24981333333333336,0.1638020564102564,0.12133538974358975,5,15
2021-09-23,Consumer,0.22987380952380954,0.21260121831501833,0.1638020564102564,5,25
2021-09-24,Consumer,0.056058437499999995,0.17048657248168503,0.21260121831501833,4,30
2021-09-27,Consumer,0.12198916666666668,0.15753428273809528,0.17048657248168503,5,33
2021-09-28,Consumer,0.10505333333333333,0.1525576160714286,0.15753428273809528,5,16
2021-09-29,Consumer,0.23533625000000002,0.14966219940476191,0.1525576160714286,4,11
2021-09-30,Consumer,0.14678666666666668,0.13304477083333335,0.14966219940476191,5,18
2021-10-01,Consumer,0.18347452380952378,0.1585279880952381,0.13304477083333335,4,16
2021-10-04,Consumer,0.26625590476190475,0.18738133571428572,0.1585279880952381,5,28
2021-10-05,Consumer,0.028646666666666664,0.1721000023809524,0.18738133571428572,5,14
2021-10-06,Consumer,0.1759713333333333,0.16022701904761905,0.1721000023809524,5,27
2021-10-07,Consumer,0.026787500000000006,0.1362271857142857,0.16022701904761905,4,8
2021-10-08,Consumer,0.10422499999999998,0.12037728095238096,0.1362271857142857,4,13
2021-10-11,Consumer,0.10502971861471862,0.08813204372294373,0.12037728095238096,5,27
2021-10-12,Consumer,0.217661875,0.1259350853896104,0.08813204372294373,4,15
2021-10-13,Consumer,0.09002750000000001,0.10874631872294374,0.1259350853896104,4,13
2021-10-14,Consumer,0.30654761904761907,0.16469834253246757,0.10874631872294374,4,16
2021-10-15,Consumer,0.43391111111111114,0.23063556475468977,0.16469834253246757,3,6
2021-10-18,Consumer,0.044752462121212117,0.21858011345598846,0.23063556475468977,4,30
2021-10-19,Consumer,0.06103333333333334,0.18725440512265515,0.21858011345598846,4,29
2021-10-20,Consumer,0.228825,0.21501390512265517,0.18725440512265515,4,8
2021-10-21,Consumer,0.055221666666666655,0.16474871464646468,0.21501390512265517,5,29
2021-10-22,Consumer,0.12051333333333333,0.1020691590909091,0.16474871464646468,5,15
2021-10-25,Consumer,0.11731433333333334,0.11658153333333336,0.1020691590909091,5,23
2021-10-26,Consumer,0.039439999999999996,0.11226286666666667,0.11658153333333336,5,17
2021-10-27,Consumer,0.21487083333333334,0.10947203333333336,0.11226286666666667,5,16
2021-10-28,Consumer,0.012640972222222213,0.10095589444444446,0.10947203333333336,4,19
2021-10-29,Consumer,0.083293125,0.09351185277777779,0.10095589444444446,4,28
2021-11-01,Consumer,0.10802833333333335,0.09165465277777779,0.09351185277777779,5,17
2021-11-02,Consumer,0.185192,0.1208050527777778,0.09165465277777779,5,24
2021-11-03,Consumer,0.20253619047619048,0.11833812420634922,0.1208050527777778,5,20
2021-11-04,Consumer,0.10844666666666666,0.1374992630952381,0.11833812420634922,5,11
2021-11-05,Consumer,0.318325,0.18450563809523812,0.1374992630952381,5,13
2021-11-08,Consumer,0.12110566666666667,0.18712110476190477,0.18450563809523812,5,20
2021-11-09,Consumer,0.20031666666666667,0.19014603809523814,0.18712110476190477,4,9
2021-11-10,Consumer,0.12742410256410255,0.17512362051282054,0.19014603809523814,5,26
2021-11-11,Consumer,0.0919072,0.17181572717948718,0.17512362051282054,5,35
2021-11-12,Consumer,-0.004451428571428565,0.10726044146520149,0.17181572717948718,5,17
2021-11-15,Consumer,-0.0017425438596491206,0.08269079935993832,0.10726044146520149,5,32
2021-11-16,Consumer,0.16071616847826087,0.07477069972225717,0.08269079935993832,4,34
2021-11-17,Consumer,0.3209616190476191,0.11347820301896047,0.07477069972225717,5,30
2021-11-18,Consumer,0.1423357142857143,0.12356390587610333,0.11347820301896047,5,29
2021-11-19,Consumer,0.10470133333333334,0.14539445825705571,0.12356390587610333,5,21
2021-11-22,Consumer,0.09957485714285715,0.16565793845755697,0.14539445825705571,5,26
2021-11-23,Consumer,0.15613958333333333,0.1647426214285715,0.16565793845755697,4,13
2021-11-24,Consumer,0.06698333333333333,0.11394696428571431,0.1647426214285715,4,9
2021-11-26,Consumer,0.256114,0.13670262142857145,0.11394696428571431,5,18
2021-11-29,Consumer,0.03504393939393939,0.12277114264069267,0.13670262142857145,5,23
2021-11-30,Consumer,0.23000361111111112,0.14885689343434344,0.12277114264069267,4,17
2021-12-01,Consumer,-0.05358266666666667,0.10691244343434345,0.14885689343434344,5,21
2021-12-02,Consumer,0.2888580357142857,0.15128738391053392,0.10691244343434345,4,17
2021-12-03,Consumer,0.32804392857142856,0.16567336962481966,0.15128738391053392,4,16
2021-12-06,Consumer,0.18311809523809525,0.1952882007936508,0.16567336962481966,5,27
2021-12-07,Consumer,-0.03768666666666667,0.14175014523809526,0.1952882007936508,5,14
2021-12-08,Consumer,0.08573333333333334,0.16961334523809526,0.14175014523809526,4,14
2021-12-09,Consumer,0.149395,0.1417207380952381,0.16961334523809526,5,20
2021-12-10,Consumer,0.1849875,0.11310945238095241,0.1417207380952381,4,8
2021-12-13,Consumer,0.05103,0.08669183333333336,0.11310945238095241,5,21
2021-12-14,Consumer,0.10052066666666666,0.11433330000000001,0.08669183333333336,5,20
2021-12-15,Consumer,0.292265,0.15563963333333336,0.11433330000000001,5,18
2021-12-16,Consumer,0.3029625,0.18635313333333334,0.15563963333333336,4,10
2021-12-17,Consumer,0.11215933333333335,0.17178750000000004,0.18635313333333334,5,29
2021-12-20,Consumer,0.15225782805429863,0.19203306561085975,0.17178750000000004,5,38
2021-12-21,Consumer,0.11375751879699247,0.19468043603692492,0.19203306561085975,4,31
2021-12-22,Consumer,0.020054166666666675,0.14023826937025824,0.19468043603692492,4,14
2021-12-23,Consumer,0.0982325,0.09929226937025826,0.14023826937025824,5,16
2021-12-27,Consumer,0.07341833333333334,0.09154406937025825,0.09929226937025826,5,24
2021-12-28,Consumer,0.15711375,0.09251525375939852,0.09154406937025825,4,18
2021-12-29,Consumer,0.13661770833333334,0.0970872916666667,0.09251525375939852,4,15
2021-12-30,Consumer,0.09761333333333333,0.11259912500000002,0.0970872916666667,5,19
2021-12-31,Consumer,0.08849,0.11065062500000003,0.11259912500000002,5,12
2022-01-03,Consumer,0.0528665,0.10654025833333336,0.11065062500000003,5,22
2022-01-04,Consumer,0.04389166666666666,0.08389584166666668,0.10654025833333336,3,7
2022-01-05,Consumer,0.08670388888888889,0.07391307777777781,0.08389584166666668,5,22
2022-01-06,Consumer,0.16943466666666668,0.08827734444444447,0.07391307777777781,5,17
2022-01-07,Consumer,0.030754999999999998,0.07673034444444446,0.08827734444444447,5,18
2022-01-10,Consumer,0.095114,0.08517984444444446,0.07673034444444446,5,25
2022-01-11,Consumer,0.15197333333333335,0.1067961777777778,0.08517984444444446,5,9
2022-01-12,Consumer,0.025518000000000002,0.09455900000000003,0.1067961777777778,5,20
2022-01-13,Consumer,0.2590583333333333,0.11248373333333335,0.09455900000000003,5,12
2022-01-14,Consumer,0.01950749999999999,0.11023423333333335,0.11248373333333335,5,24
2022-01-18,Consumer,0.005370426573426573,0.09228551864801866,0.11023423333333335,5,39
2022-01-19,Consumer,0.13500783333333335,0.08889241864801865,0.09228551864801866,5,24
2022-01-20,Consumer,0.13438380952380952,0.11066558055278057,0.08889241864801865,5,27
2022-01-21,Consumer,0.16158450980392156,0.0911708158468982,0.11066558055278057,5,32
2022-01-24,Consumer,0.13118855555555556,0.11350702695800932,0.0911708158468982,5,30
2022-01-25,Consumer,0.08167266666666666,0.12876747497665736,0.11350702695800932,5,20
2022-01-26,Consumer,0.11366117647058824,0.12449814360410834,0.12876747497665736,5,26
2022-01-27,Consumer,0.037510714285714286,0.10512352455648928,0.12449814360410834,5,18
2022-01-28,Consumer,0.0005099999999999994,0.07290862259570496,0.10512352455648928,4,10
2022-01-31,Consumer,0.18219066666666667,0.08310904481792719,0.07290862259570496,5,31
2022-02-01,Consumer,-0.10377333333333334,0.04601984481792719,0.08310904481792719,5,31
2022-02-02,Consumer,-0.006160952380952386,0.022055419047619065,0.04601984481792719,5,18
